id,type,name
Q96SU4,Substrate,Q96SU4
P55010,Substrate,P55010
P17152,Substrate,P17152
Q7L4S7,Substrate,Q7L4S7
Q5SRR4,Substrate,Q5SRR4
P62861,Substrate,P62861
Q3SXZ3,Substrate,Q3SXZ3
Q8N6T3,Substrate,Q8N6T3
Q7Z4M0,Substrate,Q7Z4M0
Q5VVJ2,Substrate,Q5VVJ2
O76075,Substrate,O76075
Q9UMS0,Substrate,Q9UMS0
Q96PX6,Substrate,Q96PX6
O43513,Substrate,O43513
Q9BVC5,Substrate,Q9BVC5
Q6ZU67,Substrate,Q6ZU67
P54802,Substrate,P54802
P35914,Substrate,P35914
Q96E29,Substrate,Q96E29
Q8NA47,Substrate,Q8NA47
Q9BYG5,Substrate,Q9BYG5
P58512,Substrate,P58512
Q8NAB2,Substrate,Q8NAB2
P0DTE1,Substrate,P0DTE1
P0C024,Substrate,P0C024
P22732,Substrate,P22732
Q9NRC1,Substrate,Q9NRC1
Q6NUJ5,Substrate,Q6NUJ5
Q13595,Substrate,Q13595
O75382,E3,O75382
Q8NGQ5,Substrate,Q8NGQ5
Q9H2L4,Substrate,Q9H2L4
Q04760,Substrate,Q04760
Q7Z2X4,Substrate,Q7Z2X4
P10124,Substrate,P10124
Q16850,Substrate,Q16850
Q5VU36,Substrate,Q5VU36
Q9Y6F8,Substrate,Q9Y6F8
P78316,Substrate,P78316
P56556,Substrate,P56556
Q8TEE9,Substrate,Q8TEE9
P60371,Substrate,P60371
Q15035,Substrate,Q15035
O60832,Substrate,O60832
Q8WV83,Substrate,Q8WV83
Q9NWQ9,Substrate,Q9NWQ9
Q96P66,Substrate,Q96P66
Q14542,Substrate,Q14542
Q8WUJ0,Substrate,Q8WUJ0
P59090,Substrate,P59090
P0C0P6,Substrate,P0C0P6
Q9UL16,Substrate,Q9UL16
B2RXF5,Substrate,B2RXF5
Q04912,Substrate,Q04912
P41220,Substrate,P41220
P08949,Substrate,P08949
Q5T9Z0,Substrate,Q5T9Z0
Q8TAV4,Substrate,Q8TAV4
Q9UBK2,Substrate,Q9UBK2
P29034,Substrate,P29034
P0CJ90,Substrate,P0CJ90
Q8NEW7,Substrate,Q8NEW7
P60953,Substrate,P60953
P60903,Substrate,P60903
Q6IAA8,Substrate,Q6IAA8
Q99928,Substrate,Q99928
Q7Z7L7,Substrate,Q7Z7L7
P53671,Substrate,P53671
Q9HBT8,Substrate,Q9HBT8
Q96T49,Substrate,Q96T49
O94782,Substrate,O94782
Q9NR46,Substrate,Q9NR46
Q6ZUX3,Substrate,Q6ZUX3
O14645,Substrate,O14645
O00264,Substrate,O00264
Q8TDL5,Substrate,Q8TDL5
Q5MJ70,Substrate,Q5MJ70
P09466,Substrate,P09466
Q99594,Substrate,Q99594
D3W0D1,Substrate,D3W0D1
A4D1S0,Substrate,A4D1S0
Q5JUR7,Substrate,Q5JUR7
Q6VMQ6,Substrate,Q6VMQ6
Q8WWX0,Substrate,Q8WWX0
Q8IVG9,Substrate,Q8IVG9
Q1ZYL8,Substrate,Q1ZYL8
P17302,Substrate,P17302
Q8TAX9,Substrate,Q8TAX9
Q9P2K9,Substrate,Q9P2K9
Q5VUG0,Substrate,Q5VUG0
P22001,Substrate,P22001
Q9NP99,Substrate,Q9NP99
Q96HJ9,Substrate,Q96HJ9
O95568,Substrate,O95568
Q5M9N0,Substrate,Q5M9N0
Q8IVC4,Substrate,Q8IVC4
Q16650,Substrate,Q16650
Q13976,Substrate,Q13976
P61513,Substrate,P61513
P0DTE7,Substrate,P0DTE7
Q8NGD0,Substrate,Q8NGD0
Q96CN9,Substrate,Q96CN9
Q6ZYL4,Substrate,Q6ZYL4
O00230,Substrate,O00230
Q13162,Substrate,Q13162
O00192,Substrate,O00192
Q9UNQ2,Substrate,Q9UNQ2
Q6ZR85,Substrate,Q6ZR85
Q6PK57,Substrate,Q6PK57
Q14657,Substrate,Q14657
P54707,Substrate,P54707
Q04118,Substrate,Q04118
Q9H347,Substrate,Q9H347
Q9Y5U5,Substrate,Q9Y5U5
Q96EK4,Substrate,Q96EK4
Q9P267,Substrate,Q9P267
P28908,Substrate,P28908
Q6P4D5,Substrate,Q6P4D5
Q4FZB7,Substrate,Q4FZB7
Q86SG6,Substrate,Q86SG6
P62487,Substrate,P62487
P53990,Substrate,P53990
Q9H903,Substrate,Q9H903
Q96EH3,Substrate,Q96EH3
Q6X9E4,E3,Q6X9E4
Q9UBX2,Substrate,Q9UBX2
P08151,Substrate,P08151
Q9UBE8,Substrate,Q9UBE8
Q8IZ83,Substrate,Q8IZ83
P80217,Substrate,P80217
Q13424,Substrate,Q13424
Q99666,Substrate,Q99666
Q3SY69,Substrate,Q3SY69
Q6ZMN8,Substrate,Q6ZMN8
Q7Z5H4,Substrate,Q7Z5H4
Q59GN2,Substrate,Q59GN2
Q9Y2Q1,Substrate,Q9Y2Q1
A0A1W2PP81,Substrate,A0A1W2PP81
P03915,Substrate,P03915
P29966,Substrate,P29966
Q8N4F0,Substrate,Q8N4F0
